Product,Date,Features,Features DOR,Feteaures DOD,Backlog
Product 1,2025-04-28,0,0,0,5
Product 1,2025-04-29,0,0,0,5
Product 1,2025-04-30,0,0,0,5
Product 1,2025-05-01,0,0,0,5
Product 1,2025-05-02,0,0,0,5
Product 1,2025-05-03,0,0,0,5
Product 1,2025-05-04,0,0,0,5
Product 1,2025-05-05,1,0,0,4
Product 1,2025-05-06,1,0,1,4
Product 1,2025-05-07,1,0,1,4
Product 1,2025-05-08,1,0,1,4
Product 1,2025-05-09,1,0,1,4
Product 1,2025-05-10,1,0,1,4
Product 1,2025-05-11,2,0,1,3
Product 1,2025-05-12,2,0,1,3
Product 1,2025-05-13,2,0,1,3
Product 1,2025-05-14,2,0,2,3
Product 1,2025-05-15,2,0,2,3
Product 1,2025-05-16,2,0,2,3
Product 1,2025-05-17,3,0,2,2
Product 1,2025-05-18,3,0,2,2
Product 1,2025-05-19,3,0,2,2
Product 1,2025-05-20,3,0,2,2
Product 1,2025-05-21,3,0,2,2
Product 1,2025-05-22,3,0,3,2
Product 1,2025-05-23,4,0,3,1
Product 1,2025-05-24,4,0,3,1
Product 1,2025-05-25,4,0,3,1
Product 1,2025-05-26,4,0,3,1
Product 1,2025-05-27,4,0,3,1
Product 1,2025-05-28,4,0,3,1
Product 1,2025-05-28,5,1,4,0
Product 2,2025-05-03,0,0,0,3
Product 2,2025-05-04,0,0,0,3
Product 2,2025-05-05,0,0,0,3
Product 2,2025-05-06,0,0,0,3
Product 2,2025-05-07,0,0,0,3
Product 2,2025-05-08,0,0,0,3
Product 2,2025-05-09,0,0,0,3
Product 2,2025-05-10,0,0,0,3
Product 2,2025-05-11,0,0,0,3
Product 2,2025-05-12,0,0,0,3
Product 2,2025-05-13,0,0,0,3
Product 2,2025-05-14,1,0,0,2
Product 2,2025-05-15,1,0,0,2
Product 2,2025-05-16,1,0,0,2
Product 2,2025-05-17,1,0,0,2
Product 2,2025-05-18,1,0,0,2
Product 2,2025-05-19,1,0,0,2
Product 2,2025-05-20,1,0,0,2
Product 2,2025-05-21,1,0,0,2
Product 2,2025-05-22,1,0,0,2
Product 2,2025-05-23,1,0,0,2
Product 2,2025-05-24,2,0,0,1
Product 2,2025-05-25,2,0,0,1
Product 2,2025-05-26,2,0,0,1
Product 2,2025-05-27,2,0,0,1
Product 2,2025-05-28,2,0,0,1
Product 2,2025-05-29,2,0,0,1
Product 2,2025-05-30,2,0,0,1
Product 2,2025-05-31,2,0,0,1
Product 2,2025-06-01,2,0,0,1
Product 2,2025-06-02,2,0,0,1
Product 2,2025-06-02,3,1,1,0
Product 3,2025-05-06,0,0,0,12
Product 3,2025-05-07,0,0,0,12
Product 3,2025-05-08,0,0,0,12
Product 3,2025-05-09,0,0,0,12
Product 3,2025-05-10,1,0,0,11
Product 3,2025-05-11,1,0,0,11
Product 3,2025-05-12,1,0,0,11
Product 3,2025-05-13,2,0,0,10
Product 3,2025-05-14,2,0,1,10
Product 3,2025-05-15,2,0,1,10
Product 3,2025-05-16,2,0,1,10
Product 3,2025-05-17,3,0,1,9
Product 3,2025-05-18,3,0,1,9
Product 3,2025-05-19,3,0,1,9
Product 3,2025-05-20,4,0,1,8
Product 3,2025-05-21,4,0,1,8
Product 3,2025-05-22,4,0,2,8
Product 3,2025-05-23,4,0,2,8
Product 3,2025-05-24,5,0,2,7
Product 3,2025-05-25,5,0,2,7
Product 3,2025-05-26,5,0,2,7
Product 3,2025-05-27,6,0,2,6
Product 3,2025-05-28,6,0,2,6
Product 3,2025-05-29,6,0,2,6
Product 3,2025-05-30,6,0,3,6
Product 3,2025-05-31,7,0,3,5
Product 3,2025-06-01,7,0,3,5
Product 3,2025-06-02,7,0,3,5
Product 3,2025-06-03,8,0,3,4
Product 3,2025-06-04,8,0,3,4
Product 3,2025-06-05,8,0,3,4
Product 3,2025-06-05,9,1,4,3
